symptoms,disease
scaly circular rash on my body,Ringworm
flushing and burning skin on the face,Rosacea
itchy rash in the elbow folds,Eczema
itchy patch after contact with a metal buckle,Contact Dermatitis
skin feels dry and inflamed with itching,Eczema
small red bumps around hair follicles,Folliculitis
small blisters breaking into crusted sores,Impetigo
slowly enlarging circular rash,Ringworm
painful spots and clogged pores on face,Acne
facial redness mainly across my cheeks and nose,Rosacea
frequent pimples on forehead and cheeks,Acne
dandruff with itchy irritated skin,Seborrheic Dermatitis
itchy circular mark with raised edges,Ringworm
smooth white patches that are not scaly,Vitiligo
white patches on the elbows and hands,Vitiligo
redness and greasy flakes on my face,Seborrheic Dermatitis
flaky red skin around my eyebrows,Seborrheic Dermatitis
dry red skin that gets worse after scratching,Eczema
nighttime itching with small skin bumps,Scabies
small bumps on hands with night itching,Scabies
facial redness after spicy foods,Rosacea
blackheads and whiteheads around my nose and forehead,Acne
skin color has disappeared from several small areas,Vitiligo
pimple like bumps after shaving,Folliculitis
itchy hives appearing overnight,Urticaria
hives after exposure to something new,Urticaria
burning red skin around the nose,Rosacea
areas of skin have lost their normal color,Vitiligo
red irritated skin after contact with latex,Contact Dermatitis
tiny pimples and blackheads on forehead,Acne
flaking around eyebrows with redness,Seborrheic Dermatitis
itchy circular patch on my thigh,Ringworm
crusted patches around the mouth,Impetigo
rough dry skin around my wrists,Eczema
redness across the nose and cheeks,Rosacea
red spots that develop yellow brown crusts,Impetigo
itchy red bumps around body hair,Folliculitis
itchy ring shaped area on my skin,Ringworm
circular itchy spot getting larger,Ringworm
very itchy dry patches on my hands,Eczema
small pus filled spots around hair follicles,Folliculitis
red sensitive skin triggered by heat,Rosacea
dandruff with itchy red scalp,Seborrheic Dermatitis
thick itchy patches with silvery scaling,Psoriasis
small pus spots near hair roots,Folliculitis
circular itchy red patch with a clearer center,Ringworm
razor bumps on my neck,Folliculitis
severe itch on hands and between fingers,Scabies
white spots around my mouth,Vitiligo
thick dry plaques appearing on my knees,Psoriasis
red spots with occasional pus on my cheeks,Acne
irritated hair follicles on my legs,Folliculitis
skin is very dry itchy and cracked,Eczema
small red bumps with facial redness,Rosacea
red ring spreading on my leg,Ringworm
raised pale red welts after a trigger,Urticaria
small itchy bumps on the waist and fingers,Scabies
round red patch with flaky border,Ringworm
dandruff and redness on the scalp,Seborrheic Dermatitis
superficial blisters that form crusts,Impetigo
sensitive face with frequent flushing,Rosacea
redness and warmth across the face,Rosacea
skin becomes dry and cracked during flare ups,Eczema
tiny pimples surrounding hairs,Folliculitis
cheeks become red and warm easily,Rosacea
skin has white areas with sharp borders,Vitiligo
red patches around my nose and cheeks,Rosacea
itchy swelling on the skin with welts,Urticaria
thick flaky patches around my knees,Psoriasis
well defined pale patches on my face,Vitiligo
itchy inflamed skin around the neck,Eczema
red raised patches that fade within hours,Urticaria
tiny red bumps around beard follicles,Folliculitis
pimple like rash around hairs,Folliculitis
red face with small bumps around the nose,Rosacea
whiteheads on forehead and nose,Acne
raised itchy spots appearing in different places,Urticaria
skin became red and itchy after product exposure,Contact Dermatitis
greasy flaky scales on my scalp,Seborrheic Dermatitis
tiny burrow like marks with intense itching,Scabies
red bumps appearing around individual hairs,Folliculitis
itchy rash between my fingers,Scabies
itchy bumps around my waistline,Scabies
light patches on my skin with no rash,Vitiligo
red hives appearing after exposure,Urticaria
smooth white patches without itching,Vitiligo
dry rash on hands with itching,Eczema
scaling around the sides of my nose,Seborrheic Dermatitis
oily scalp with red flaky areas,Seborrheic Dermatitis
silvery scales falling from red patches,Psoriasis
blisters that break and form golden crusts,Impetigo
skin bumps after shaving and sweating,Folliculitis
skin pigment disappearing in small areas,Vitiligo
itching after using a different shampoo,Contact Dermatitis
scaly plaques on my elbows and knees,Psoriasis
hives spreading across my body,Urticaria
red itchy area after using a fragranced lotion,Contact Dermatitis
facial bumps with repeated flushing,Rosacea
burning redness after applying a cosmetic,Contact Dermatitis
itchy bumps around the abdomen and hands,Scabies
burning skin after contact with soap,Contact Dermatitis
white discoloration on my fingers,Vitiligo
loss of color around the eyes,Vitiligo
rapidly appearing superficial crusted sores,Impetigo
itchy redness where perfume was applied,Contact Dermatitis
sudden itchy raised patches,Urticaria
red itchy patches that flare up repeatedly,Eczema
red acne around chin,Acne
persistent thick plaques with silver flakes,Psoriasis
scaly scalp with red patches,Psoriasis
rash on my wrist under a watch strap,Contact Dermatitis
ring shaped flaky rash that is spreading,Ringworm
flushing and persistent redness on my face,Rosacea
oozing red sores with golden crust,Impetigo
rash with severe itching at night,Scabies
red flaky patches around the nose,Seborrheic Dermatitis
light colored patches spreading on the skin,Vitiligo
ring shaped rash on my leg,Ringworm
depigmented spots on the face and hands,Vitiligo
pustules around hair follicles,Folliculitis
round red area with clearer center,Ringworm
tender acne bumps on cheeks,Acne
scaly ring on my skin with itching,Ringworm
scaling skin around elbows and scalp,Psoriasis
greasy scales behind my ears,Seborrheic Dermatitis
itchy rough skin that becomes cracked,Eczema
breakouts around the chin and jawline,Acne
thick patches with white scaling,Psoriasis
rash appeared after using a new cosmetic,Contact Dermatitis
oozing skin sores with yellow crust,Impetigo
well defined white spots on my hands,Vitiligo
facial acne with clogged pores,Acne
flaky patches around the hairline,Seborrheic Dermatitis
itchy rash after using a new cream,Contact Dermatitis
rash of bumps after shaving my legs,Folliculitis
ongoing facial redness and easy flushing,Rosacea
cheeks look constantly flushed,Rosacea
rash limited to the area exposed to a product,Contact Dermatitis
rash in finger webs with intense itching,Scabies
thick red patches covered with silvery scales,Psoriasis
red irritated follicles on my arms,Folliculitis
skin became irritated after wearing a new bracelet,Contact Dermatitis
itchy red rash behind my knees,Eczema
sudden itchy welts on my arms,Urticaria
itchy patches on arms and legs,Eczema
raised red bumps that move around my body,Urticaria
small bumps with persistent facial flushing,Rosacea
small red pimples on the face with oily skin,Acne
visible small vessels with cheek redness,Rosacea
severe itch with tiny bumps on the body,Scabies
red patches with greasy scales,Seborrheic Dermatitis
red itchy rash after using a new soap,Contact Dermatitis
facial flushing after heat or spicy food,Rosacea
rash started after changing laundry detergent,Contact Dermatitis
smooth pale patches with loss of skin color,Vitiligo
crusted sores spreading around my nose,Impetigo
red irritated patches on my elbows,Eczema
inflamed pimples on cheeks and chin,Acne
sudden skin welts after eating,Urticaria
red scaly rash that keeps returning,Psoriasis
red follicle bumps after shaving,Folliculitis
oily flaky skin around my hairline,Seborrheic Dermatitis
small itchy bumps around my fingers,Scabies
red inflamed bumps near hair follicles,Folliculitis
itchy rash after applying hair dye,Contact Dermatitis
white patches appearing on my hands,Vitiligo
intense nighttime itching around my wrists,Scabies
circular rash with a darker raised edge,Ringworm
itchy bumps around beard hair,Folliculitis
small rash on wrists with night itching,Scabies
flaky itchy patches on my legs,Eczema
dry scaly skin with intense itching,Eczema
persistent scalp flakes and itching,Seborrheic Dermatitis
inflamed facial spots and blocked pores,Acne
hives appearing and disappearing quickly,Urticaria
large itchy hives appearing suddenly,Urticaria
honey colored scabs over small sores,Impetigo
pale patches on hands and feet,Vitiligo
rash after handling a cleaning product,Contact Dermatitis
white areas on my face with no scaling,Vitiligo
oozing sores on the face with crusting,Impetigo
round itchy patch that is expanding,Ringworm
raised itchy wheals across my skin,Urticaria
itchy sores with yellow crusting,Impetigo
itchy swollen areas that come and go,Urticaria
temporary raised rash on my arms and legs,Urticaria
small inflamed spots around hair roots,Folliculitis
itching and dry scaling on my arms,Eczema
dry thick skin on elbows with scales,Psoriasis
irritated cracked skin on my hands,Eczema
round red scaly mark on my body,Ringworm
itchy rash on wrists and waist,Scabies
itchy scalp with white and yellow flakes,Seborrheic Dermatitis
itchy swollen patches after eating a food,Urticaria
itching spreads to close household contacts,Scabies
small oozing lesions covered by yellow crust,Impetigo
loss of skin pigment around my fingers,Vitiligo
itchy follicle bumps on my thighs,Folliculitis
skin welts changing location during the day,Urticaria
scaling rash on the scalp and elbows,Psoriasis
persistent dandruff with scalp irritation,Seborrheic Dermatitis
itchy flaky skin around my nose,Seborrheic Dermatitis
round scaly patch spreading slowly,Ringworm
red patch exactly where a product touched my skin,Contact Dermatitis
oily face with frequent pimples,Acne
